experiment	commit	metric	status	description
538	102.92	discard	MacDisplayKit=2c716abeb9c951113f41ef7cc338be974d019147	MacDisplayKit: exp579: add autorelease to replay handoff split
539	103.54	discard	MacDisplayKit=af6ce5193f746fb49436995b50ac37d8ca42af24	MacDisplayKit: exp580: add autorelease to fresh delivery split
540	100.79	discard	MacDisplayKit=f58535f26898ae766ff0e7cb74875f2002662c9f	MacDisplayKit: exp581: split replay state from delivery handoff
541	103.33	discard	MacDisplayKit=2730bb5a8756489636947cf1e5cc92a3997e4fa5	MacDisplayKit: exp582: prioritize replay split handoff lane
542	103.33	discard	MacDisplayKit=656132f0d5fd6a91f578b9f3cde5bc66ca28ee56	MacDisplayKit: exp583: lower-priority replay split handoff
543	103.75	discard	MacDisplayKit=5c1219d3d89b94e9bd196ba9539ad4087a719dfb	MacDisplayKit: exp584: split skylight state and replay lanes
544	103.54	discard	MacDisplayKit=25f6310b6868b70df44a5fd92c862d620b5d3c54	MacDisplayKit: exp585: split state lane with replay keep
545	103.33	discard	MacDisplayKit=ab07e0b2698674b85ebe250f61529dcfa773a610	MacDisplayKit: exp586: prioritize state and replay split
546	103.75	discard	MacDisplayKit=5ef10a79be6d4aa95444fc5a24eaaa650d49c11d	MacDisplayKit: exp587: prioritize state and replay split keep
547	102.11	discard	MacDisplayKit=cd71e7a8404558ffd0e0821545f9f2f84fccfe79	MacDisplayKit: exp588: moderate-priority state split keep
548	103.54	discard	MacDisplayKit=02e605c7e55e0d8e6ae5de08fe35f78fd86e936e	MacDisplayKit: exp589: add autorelease to state replay split
549	103.96	discard	MacDisplayKit=b9fda46a2782dd13813434efb93f759aae678a54	MacDisplayKit: exp590: moderate state and handoff split
550	103.33	discard	MacDisplayKit=a4dfd63c90729b4e865ce498bc5c5ccd28b0318f	MacDisplayKit: exp591: reserialize split state and replay handoff
551	102.08	discard	Lumen=6f406b6f050ecff54aace929cf362bce98eaec1c	Lumen: exp551: gate tiny backlog collapse on callback latency
552	103.12	discard	MacDisplayKit=2dc8fa591147c2fa3ad8528912813661ac2e5314	MacDisplayKit: exp592: add autorelease to moderate handoff split
553	103.96	discard	MacDisplayKit=044917b6986457fbcf89b9b697314d131d13ccf0	MacDisplayKit: exp593: add autorelease to moderate state split
554	103.33	discard	MacDisplayKit=6d0c9c69eac85b7776f8e61df39cf5fbede16de4	MacDisplayKit: exp594: prioritize moderate handoff split
555	103.75	discard	MacDisplayKit=8f7230c824aabb616530d87cc1fd4081b9c96cf2	MacDisplayKit: exp555: add autorelease to moderate state handoff split
556	104.17	discard	MacDisplayKit=6d127dd69583a7f3d49f10c0c1f2ee0f42c19a13	MacDisplayKit: exp556: blend hevc replay cadence and startup phase
557	104.17	discard	MacDisplayKit=2ba63fb75a78d723a1c7271e9b87c248412c0573	MacDisplayKit: exp557: retune hevc replay cadence only
558	101.88	discard	MacDisplayKit=9670ccb69c99d8754c277d6a7e2841b98170031a	MacDisplayKit: exp558: advance hevc replay startup phase only
559	104.17	discard	MacDisplayKit=ccba03ed9b3a29185993b6eb0be31928124efb45	MacDisplayKit: exp559: blend hevc replay cadence with moderate handoff split
560	101.34	discard	MacDisplayKit=75394012b05fcf57781632be475200de392e9f26	MacDisplayKit: exp560: blend hevc replay cadence with autoreleased handoff split
561	104.17	discard	MacDisplayKit=51483b1a40b8745e545d09232af384b0d402de67	MacDisplayKit: exp561: retune hevc replay cadence to 146hz
562	104.17	discard	MacDisplayKit=6734cc4211084ba7ee1ad1a7161ad98731ea1845	MacDisplayKit: exp562: retune hevc replay cadence to 145hz
563	104.17	discard	MacDisplayKit=6920e6efe0ea1be49b317039fa7db57ea94dfd8b	MacDisplayKit: exp563: retune hevc replay cadence to 143hz
564	104.17	discard	MacDisplayKit=0689c2e35706601baa3f073c3d0f052277143374	MacDisplayKit: exp564: blend 146hz hevc replay cadence with startup phase
565	101.67	discard	MacDisplayKit=a753e078ddb3dab31b360fd7ad6b6be76e2008c3	MacDisplayKit: exp565: blend expected-duration default with lower realtime cap
566	103.33	discard	MacDisplayKit=1d1876568016f73f4b083272544f241013a7195e	MacDisplayKit: exp617: blend realtime hint with moderate source split
567	101.65	discard	MacDisplayKit=125e9b27352e6bf5247cdc30df9d99507540129d	MacDisplayKit: exp618: blend realtime hint with autoreleased state split
568	101.67	discard	MacDisplayKit=27628017310b389980902c62cb796133fd77d635	MacDisplayKit: exp619: blend realtime hint with delivery autorelease
569	101.67	discard	MacDisplayKit=76bf0b84e686e309ee9b3573dde19d277a7a4664	MacDisplayKit: exp620: blend realtime hint with encode autorelease
570	101.88	discard	MacDisplayKit=e67771935aed3d0bd57dd76fae5a95f6bb05ad71	MacDisplayKit: exp621: blend realtime hint with submit autorelease
571	102.29	discard	MacDisplayKit=9075abad9ddbb42b5434d7e864e49ad670ddc507	MacDisplayKit: exp622: blend realtime hint with output autorelease
572	104.17	discard	MacDisplayKit=c9d4ae2dede0c055f6b18388b2b3bcd04b631732	MacDisplayKit: exp623: blend realtime hint with 146hz replay cadence
573	101.25	discard	MacDisplayKit=a4195c054196844b7c84dcda6fa96310cb193e25	MacDisplayKit: exp624: blend realtime hint with default vbv delay
574	101.67	discard	MacDisplayKit=f7d7d62ef36cfb82b1863c6a1ef28d17ab347ac8	MacDisplayKit: exp625: blend realtime hint with source drop trim
575	102.08	discard	MacDisplayKit=80346a702191e060acb2f4877f6c62cb5ef0695d	MacDisplayKit: exp626: blend realtime hint with immediate slot release
576	101.46	discard	MacDisplayKit=f6d566634a5646423618943c6c6b5de8e0eb2db3	MacDisplayKit: exp627: blend realtime hint with default power hint
577	101.67	discard	MacDisplayKit=315c773712684ce86ba205b29b1e1182e8160d82	MacDisplayKit: exp628: blend realtime hint with source diagnostics drop
578	101.88	discard	MacDisplayKit=840b510b1819838da1539d3b91fa586b0c7989b9	MacDisplayKit: exp629: retune realtime ceiling to 192hz
579	101.46	discard	MacDisplayKit=b8e8946b7066b0d100f4e83deb788b87df94a330	MacDisplayKit: exp630: blend realtime hint with surface cache
580	101.46	discard	MacDisplayKit=4a77a9977c940c12f335916a7d44c58a022e75f2	MacDisplayKit: exp631: decouple hevc timing from realtime hint
581	101.88	discard	MacDisplayKit=93d226d0152b39da9155a4e4cf77286333c65109	MacDisplayKit: exp632: relax hevc replay pending suppression
582	101.88	discard	MacDisplayKit=4651efae8fed27859bafe4e6f0ad1c06d9c260ae	MacDisplayKit: exp633: reuse hevc frame values on submit
583	101.88	discard	MacDisplayKit=ed8fc897754e60189decbfb0ac14530a685c6930	MacDisplayKit: exp634: inline latest mailbox drain
584	101.88	discard	MacDisplayKit=65f7be96ad0b29e532b256c7b53dcd59f39516c4	MacDisplayKit: exp635: trim hevc submit-side diagnostics
585	101.46	discard	MacDisplayKit=c5c3a5240707b9c61b3e5a2a630ac572b741c06c	MacDisplayKit: exp636: trim hevc callback histograms
586	101.88	discard	MacDisplayKit=657be509887f77e4a18c82adc28286542759393e	MacDisplayKit: exp637: trim hevc runtime note bookkeeping
587	101.88	discard	MacDisplayKit=65f131a4b0be2ee5c489411ad1a2256c613be193	MacDisplayKit: exp638: reuse frame values on submit
588	101.67	discard	MacDisplayKit=cc4a50b0191de3482bf72af8f7796f9715f7d57f	MacDisplayKit: exp639: skip prores source diagnostics
589	102.08	discard	MacDisplayKit=3b8ec52dd625f1b05ad6e976fa5c997c194dabea	MacDisplayKit: exp640: widen prores callback pending slack
590	102.29	discard	MacDisplayKit=ebc24c71626c42e9f168cc08352b0a4762486e55	MacDisplayKit: exp641: deepen prores callback pending slack
591	102.29	discard	MacDisplayKit=58fc2e8b3fb0f3482199862611bca9c256f1f931	MacDisplayKit: exp642: widen prores callback pending slack again
592	102.71	discard	MacDisplayKit=3f57257c01cb53dc541222e1481d6c49597c3833	MacDisplayKit: exp643: trim prores callback histograms
593	101.88	discard	MacDisplayKit=a154bf18181dcfc284e19b73e642d38106568bf9	MacDisplayKit: exp644: trim prores frame bookkeeping
594	102.08	discard	MacDisplayKit=37bfc7c54027f6be12e07775c6d9018926c42b1d	MacDisplayKit: exp645: disable prores timer replay
595	101.46	discard	MacDisplayKit=8eef7b147a6da686c75954a29c53773ad6585a14	MacDisplayKit: exp646: relax prores replay cadence
596	102.08	discard	MacDisplayKit=4c48f40745a085f2ae200cc3351368220c452f48	MacDisplayKit: exp647: trim prores hot-path diagnostics
597	101.67	discard	MacDisplayKit=d39b6c56800944fc004e749a60d9015fe58d4a23	MacDisplayKit: exp648: blend prores slack with callback trim
598	101.67	discard	MacDisplayKit=d098bce6b48557b515bd6a7f7dc1433db4cda909	MacDisplayKit: exp649: favor fresh prores mailbox frames
599	104.38	discard	MacDisplayKit=cd571cad4a56c68b0c8f32dbf11d9db238f5e488	MacDisplayKit: exp650: raise hevc replay cadence slightly
600	104.17	discard	MacDisplayKit=dac5ed92b51930dd7f6c542339eef086ebeefaae	MacDisplayKit: exp651: advance hevc replay startup
601	104.17	discard	MacDisplayKit=73227cfea4275f32f6b98790463a03abb5f83cd2	MacDisplayKit: exp652: soften hevc replay startup advance
602	104.17	discard	MacDisplayKit=bde18759ba9ca4bd2d488d74fd35ec2e4eabc2e0	MacDisplayKit: exp602: tighten hevc replay leeway
603	104.17	discard	MacDisplayKit=4ddf238ddecae153678c10cf43edb1ff898b3014	MacDisplayKit: exp603: pair hevc startup with 144hz replay
604	104.17	discard	MacDisplayKit=a7b07bb7c6449d64798b2e9a056e4dd7c3fcfe69	MacDisplayKit: exp604: soften hevc startup at 145hz
605	101.25	discard	MacDisplayKit=81f3af113c5b1defc37a11fb495e87eb657af406	MacDisplayKit: exp605: split hevc expected frame rate hint
606	104.17	discard	MacDisplayKit=1acb99832c14f9c47abb0de3b7ea17385bd491b0	MacDisplayKit: exp606: lower hevc replay cadence slightly
607	103.96	discard	MacDisplayKit=0ed87b095915f38002bb808676faef207ed101d8	MacDisplayKit: exp607: raise hevc replay cadence slightly
608	102.08	discard	MacDisplayKit=69b3eb34b61821acb6b9fecec4242763d3db055c	MacDisplayKit: exp608: lengthen hevc keyframe interval hint
609	101.88	discard	MacDisplayKit=bcd3b40c5c48897c6cddad51b879ef2c103ca7ac	MacDisplayKit: exp609: widen hevc realtime frame rate hint
610	102.29	discard	MacDisplayKit=79c8e63bbbf8dab69a5a6605c9d0b8950c78640e	MacDisplayKit: exp610: soften hevc realtime frame rate headroom
611	102.29	discard	MacDisplayKit=2c0759b0e9ee75af2556641840244598b4c40f20	MacDisplayKit: exp611: add one hevc frame delay slot
612	101.88	discard	MacDisplayKit=b83462a36b62fff37b1f1a9942f9f7214107f0d3	MacDisplayKit: exp612: raise hevc reference buffer count
613	101.46	discard	MacDisplayKit=612dd6b42ed9233ffd65c8474cfcaab239627838	MacDisplayKit: exp613: drop hevc source frame diagnostics
614	102.08	discard	MacDisplayKit=c2f102f2ed12b963e428d0aef1fe6b1969fc45b7	MacDisplayKit: exp614: make vt submitted-frame accounting async
615	102.29	discard	MacDisplayKit=96d83dddfbd859dea1466d0abe6c5a9ac12cca07	MacDisplayKit: exp615: gate hevc startup replay on vt parallelism
616	101.67	discard	MacDisplayKit=a43369fe7f8458a587f56f9662a10a06c98b3c1b	MacDisplayKit: exp616: use work-item autorelease on vt encode queue
617	101.88	discard	MacDisplayKit=e6037981225e074d2c57862635ecb4f33849ed5c	MacDisplayKit: exp617: disable hevc end reserve hint
618	101.67	discard	MacDisplayKit=805fb30de0cb9182c76ea2ba7b137ca52bc17455	MacDisplayKit: exp618: cache skylight capture surfaces
619	102.71	discard	MacDisplayKit=9a9e54c4c903dfb5a13f1d262dee9ed6b62d4a45	MacDisplayKit: exp619: use default hevc power-efficiency hint
620	104.38	discard	MacDisplayKit=2de5d328301e9129962075bb9dffb04439177c57	MacDisplayKit: exp620: relax hevc replay minimum delta
621	104.17	discard	MacDisplayKit=4ba78c8faf93ace5eaba5751c759bb7dc1a041ac	MacDisplayKit: exp621: pair hevc replay cadence with relaxed delta
622	104.38	discard	MacDisplayKit=2eb7d061f2f463e39fb2a8d1868efdcfb6db98fc	MacDisplayKit: exp622: pair hevc replay gate with prores callback trim
623	104.17	discard	MacDisplayKit=fdbd28f981667f4693f376ad81c164b2c232d319	MacDisplayKit: exp623: pair hevc replay cadence with prores callback trim
624	102.08	discard	MacDisplayKit=8b7bf68862d9ad593c6bbed6add392143226fd32	MacDisplayKit: exp624: deepen prores slack with callback trim
625	104.17	discard	MacDisplayKit=42be9950137818d19a903d3a33da49d8e9f529b3	MacDisplayKit: exp625: pair hevc startup with replay gate
626	104.17	discard	MacDisplayKit=bdc34e1330bc848ccce6b8304a8b7678a905d333	MacDisplayKit: exp626: pair earlier startup with replay gate
627	104.17	discard	MacDisplayKit=ea5c05ae01c7e57fd680c1ac19276bf1f44fef3e	MacDisplayKit: exp627: pair late startup with milder gate
628	104.17	discard	MacDisplayKit=b7dd5b99bcd34921f2a47c6377a3a4dc88a84b96	MacDisplayKit: exp628: pair earlier startup with relaxed gate
629	104.38	discard	MacDisplayKit=410dc2aa6d286a4347012ea8c09a0f4340675da5	MacDisplayKit: exp629: deepen hevc replay minimum delta relaxation
630	104.17	discard	MacDisplayKit=6920fbddd688147c1016d1843acffae6a095e426	MacDisplayKit: exp630: pair hevc replay cadence with deeper gate
631	104.17	discard	MacDisplayKit=f060bbd8007e4832d7575aecadbb28639d09b239	MacDisplayKit: exp631: pair deeper hevc gate with prores trim
632	104.17	discard	MacDisplayKit=f91226f8a116bcd0fba0c3325a32509fccfe322a	MacDisplayKit: exp632: retune hevc replay gate midpoint
633	104.17	discard	MacDisplayKit=e341c56da67d68a796113bbb9867b9473989db65	MacDisplayKit: exp633: pair midpoint gate with prores trim
634	104.38	discard	MacDisplayKit=50dc78ad84b841cc165b0c672849867325c76dce	MacDisplayKit: exp634: soften hevc replay gate relaxation
635	104.17	discard	MacDisplayKit=51085a456aacb7d8a15d0ba3a59f1465e13d1741	MacDisplayKit: exp635: pair softer hevc gate with prores trim
636	104.38	discard	MacDisplayKit=c453a8da91bcb610613a7fdb39d9274f639ec364	MacDisplayKit: exp636: pair softer gate with prores trim
637	104.17	discard	MacDisplayKit=84e3d1622fa1d93b44e2161508caa29e200a608c	MacDisplayKit: exp637: pair hevc replay cadence with softer gate
638	101.46	discard	MacDisplayKit=b46c025fcf6aafc892eb692d5b64132727b41fda	MacDisplayKit: exp638: tighten hevc replay timer leeway
639	104.17	discard	MacDisplayKit=6d98e5f638fe9b6bcdf83b0e578fef377e60b5e3	MacDisplayKit: exp639: retune hevc replay cadence to 147hz
640	104.17	discard	MacDisplayKit=b896b144f04656aa2cbc22de8570f0f35506ff96	MacDisplayKit: exp640: retune hevc replay minimum delta to forty nine sixty fourths
641	104.17	discard	MacDisplayKit=970679159135c23e86fdc1963b02f5b7707dbd0c	MacDisplayKit: exp641: retune hevc replay minimum delta to forty three sixty fourths
642	101.04	discard	MacDisplayKit=5d2fb9136998ec8da4fe1a0884fcdd0fc4383a07	MacDisplayKit: exp642: require extra tick for replay minimum delta
643	101.67	discard	MacDisplayKit=58cbae0e78ee73d0d073d26cce39b2dca59e8f14	MacDisplayKit: exp643: relax hevc replay timer leeway slightly
644	103.12	discard	MacDisplayKit=10f645a6003a19e69e7a8b60ed34ebb305abf7ac	MacDisplayKit: exp644: split skylight source state from delivery
645	103.75	discard	MacDisplayKit=19ceea37640c2c8877c2c0ed349f14ee3ded1af0	MacDisplayKit: exp645: prioritize split skylight source queues
646	103.75	discard	MacDisplayKit=9f0168efcda57ec81ddeecb88a2cc3443b9bcbab	MacDisplayKit: exp646: prioritize split skylight queues without autorelease
647	103.96	discard	MacDisplayKit=3a1f67fe10b3b9fda9f7e024c71d29500f9b5263	MacDisplayKit: exp647: add autorelease to moderate state split
648	102.08	discard	MacDisplayKit=e1deae261d3358b3999d01b79ba8b7fa25c465be	MacDisplayKit: exp648: pair source saturation suppression with async submit accounting
649	102.29	discard	MacDisplayKit=f78b1deaacd818ff2beb74d9150343425e6a84f3	MacDisplayKit: exp649: skip hevc dirty-rect decode when diagnostics are off
650	101.46	discard	MacDisplayKit=9a03694c1a649b7983acf71fc7600f1baed691ce	MacDisplayKit: exp650: suppress hevc source saturation events
651	101.67	discard	MacDisplayKit=49aead213e3fc43caad3be2dee1eaed041b088fb	MacDisplayKit: exp651: decode dirty rects only for fresh frames
652	101.46	discard	MacDisplayKit=9bf3a5de053f085449563d2e8cb10008cf6fee84	MacDisplayKit: exp652: step synthetic replay timestamps
653	101.46	discard	Lumen=37283d500357f2f0595dd9b410bd55f1e68e0221	Lumen: exp653: keep overlay prores input auto
654	104.38	discard	MacDisplayKit=864eccda063ddd114fee7610d3e8ce01197290a7	MacDisplayKit: exp654: retune hevc replay cadence to 145hz
655	104.17	discard	MacDisplayKit=206f18a023c0e6cce4ebae0ebb1ec1aa74635a4b	MacDisplayKit: exp655: pair 145hz replay cadence with source trim
656	104.17	discard	MacDisplayKit=509ec9eaf63dc52282c283178c49bb25b75d55ad	MacDisplayKit: exp656: pair softer replay gate with source trim
657	104.17	discard	MacDisplayKit=32971d7cb657de0a982befee13ee46753a8e0a50	MacDisplayKit: exp657: pair 145hz cadence with source drop trim
658	104.17	discard	MacDisplayKit=0420b94b832706ac5e1e0e155cec1b7c046d066d	MacDisplayKit: exp658: pair softer gate with source drop trim
659	101.25	discard	MacDisplayKit=c44b578231f561e23b0c501b87c8fd549f7dc880	MacDisplayKit: exp659: relax vt startup replay warmup
660	101.88	discard	MacDisplayKit=2b5b0de28667d3ce6a1c55d27097adda1453e32e	MacDisplayKit: exp660: pair startup warmup with source drop trim
661	104.17	discard	MacDisplayKit=46ec5bd1d8c2bf586c082034bcf5c7a6f47e0c7f	MacDisplayKit: exp661: pair 11/16 gate with source drop trim
662	101.46	discard	MacDisplayKit=a719259c7a533b19ee293cb06da4e1b3e5921671	MacDisplayKit: exp662: relax hevc realtime frame-rate cap
663	101.67	discard	MacDisplayKit=42d3ac37ea0079c49faa2c62940b2dab6956ddaa	MacDisplayKit: exp663: soften hevc expected frame-rate hint
664	101.67	discard	MacDisplayKit=930b4352d867d0d2f0225fa1c8e651a40d519970	MacDisplayKit: exp664: restore startup-only hevc frame delay tightening
665	104.17	discard	MacDisplayKit=469d2787d90aa57258652e4c929e542e72deb507	MacDisplayKit: exp665: pair exp566 with 11/16 replay gate
666	101.25	discard	MacDisplayKit=9fce53d0e1ec3f3e42baeda416bd0c929155025c	MacDisplayKit: exp666: trim hevc source drop metadata
667	104.17	discard	MacDisplayKit=44ab0b7a6fa9509ad93cd85eeb028673351da32b	MacDisplayKit: exp667: trim hevc dirty rect metadata
668	25.0	discard	MacDisplayKit=a618960ec0b6fb0684cbd717acc413196e6acb59	MacDisplayKit: exp668: trim hevc source metadata
668	25.0	discard	MacDisplayKit=a618960ec0b6fb0684cbd717acc413196e6acb59	MacDisplayKit: exp668: trim hevc source metadata
669	25.0	discard	MacDisplayKit=cb2aedf1ad0dbf8facdc6995279b9c47d7271e85	MacDisplayKit: exp669: decouple hevc expected hint from cap
669	25.0	discard	MacDisplayKit=cb2aedf1ad0dbf8facdc6995279b9c47d7271e85	MacDisplayKit: exp669: decouple hevc expected hint from cap
670	25.0	discard	MacDisplayKit=0926c5d96d8626b171b4bee43825964457d52220	MacDisplayKit: exp670: soften hevc vbv initial delay clamp
670	25.0	discard	MacDisplayKit=0926c5d96d8626b171b4bee43825964457d52220	MacDisplayKit: exp670: soften hevc vbv initial delay clamp
671	25.0	discard	MacDisplayKit=21e131924d9aa617ca277192372928843c1e6f2c	MacDisplayKit: exp671: add mild hevc vbv buffer clamp
671	25.0	discard	MacDisplayKit=21e131924d9aa617ca277192372928843c1e6f2c	MacDisplayKit: exp671: add mild hevc vbv buffer clamp
672	102.08	discard	MacDisplayKit=539988dea154d8c8eb83f4aa87a40fcb794f7c91	MacDisplayKit: exp672: narrow startup-only hevc frame delay tightening
673	103.05	discard	MacDisplayKit=6a40f3f153e27108e2b305cff7c91917e4fa9c41	MacDisplayKit: exp673: narrow hevc reference buffer drop
674	101.88	discard	MacDisplayKit=e6cbd27916ba02fe9e09487c90809a6a7db2ae65	MacDisplayKit: exp674: narrow hevc temporal compression disable
675	103.96	discard	MacDisplayKit=c450bcf38c8cfb973a9c52ac464bccee1899840e	MacDisplayKit: exp675: pair replay gate with ref trim
676	103.75	discard	MacDisplayKit=89060ba3e6382b8d487d60cf835db52330fa2792	MacDisplayKit: exp676: pair replay gate with startup tighten
677	95.7	discard	MacDisplayKit=d363b388cbbb855c0bf900246493cbb5c51208ed	MacDisplayKit: exp677: pair replay gate with dirty rect trim
678	25.0	discard	MacDisplayKit=e8b3ce6139bb43f56603b66c4ddec4fd9f34b45f	MacDisplayKit: exp678: soften hevc realtime frame-rate cap
679	94.92	discard	MacDisplayKit=86670ddcd991eb0ff74639a6bf7998257c5175a8	MacDisplayKit: exp679: decouple hevc expected duration hint
680	103.32	discard	MacDisplayKit=37890651c531b22e56d816dac0d68582faf6c855	MacDisplayKit: exp680: cache skylight capture surfaces
681	103.96	discard	MacDisplayKit=b611c1ef99c48df4ce9a3bc46d2f02d1d5ad026a	MacDisplayKit: exp681: pair surface cache with replay gate
682	103.82	discard	MacDisplayKit=adc839c4ea58f101d066b7f1820ff5ee58a4aeac	MacDisplayKit: exp682: pair surface cache with ref trim
683	103.96	discard	MacDisplayKit=420830958fbf29d23187745ec5687d238a396772	MacDisplayKit: exp683: pair cache gate with ref trim
684	92.66	discard	MacDisplayKit=4b452c4152ebd43587bc545575e3a98f1e8747e0	MacDisplayKit: exp684: pair cache gate with drop trim
685	25.0	discard	MacDisplayKit=237c4678c0e0f4282560229f852e74a80fb76222	MacDisplayKit: exp685: pair cache with 145hz replay
686	103.75	discard	MacDisplayKit=75368371097ed64571909e31bfaba6325b674f1c	MacDisplayKit: exp686: pair cache with softer gate
687	104.38	discard	MacDisplayKit=596513b14d0c6d36615fec5663a5a0c8ea8fb00a	MacDisplayKit: exp687: pair cache with softer gate
688	101.46	discard	MacDisplayKit=9e6e98291131cae3d552c104e4e409683e0d302a	MacDisplayKit: exp688: pair vt warmup with bookkeeping
689	102.71	discard	MacDisplayKit=c1fce30e7f736482843f2e74e9c43854e22ed4c6	MacDisplayKit: exp689: suppress hevc saturation events
690	104.17	discard	MacDisplayKit=008c1a9d44a6e90907b60a32a340be5964e2894c	MacDisplayKit: exp690: widen hevc source texture cache
691	104.38	discard	MacDisplayKit=3e146f65bce7f702954fc1d91ef2179fbb768ba1	MacDisplayKit: exp691: split cursor texture cache
692	104.17	discard	MacDisplayKit=33423b2b3052eee3685806d86535502671710ab3	MacDisplayKit: exp692: align hevc presentation pacing
693	104.17	discard	MacDisplayKit=16a1cb4a7b52179f512b791b0b0b2b230c006691	MacDisplayKit: exp693: reuse repeated skylight surfaces
694	104.17	discard	MacDisplayKit=abbb90054ba4251d9589eaba29bfd97e7732cb10	MacDisplayKit: exp694: set hevc submit duration
695	104.17	discard	MacDisplayKit=fe263e956045ed6562fcc068d607ff2e10f77d09	MacDisplayKit: exp695: memoize direct hdr attachments
696	104.17	discard	MacDisplayKit=9b4148deb3d4829e754bff84dd32e8a406b78ced	MacDisplayKit: exp696: release direct source before submit
697	103.77	discard	MacDisplayKit=1aa80d248195d79c0f5ca27ee8724e7449d204d9	MacDisplayKit: exp697: trim replay wrapper churn
698	104.38	discard	MacDisplayKit=53b607b32408fe44d8a750677a19a145df5d2d82	MacDisplayKit: exp698: tighten hdr hevc pending budget
699	98.0	discard	MacDisplayKit=2b0c1f5f51625c63e46189d3578adfdf50ec40eb	MacDisplayKit: exp699: scope encode autorelease to pq hevc
700	104.38	discard	MacDisplayKit=1a26b63532f5d80223aa64b21c34a3bd606e330d	MacDisplayKit: exp700: raise mailbox continuation priority
701	104.17	discard	MacDisplayKit=540366bf92033da1322c338bbd6c79d7136a3afe	MacDisplayKit: exp701: default hevc power hint
702	104.17	discard	MacDisplayKit=25a5cb7274dbf9168569f4701080d1eddd997ae2	MacDisplayKit: exp702: trim callback cadence diagnostics
703	104.17	discard	MacDisplayKit=4400716a1bcc08a7b69691cbe056327677a99930	MacDisplayKit: exp703: default hevc profile level
704	95.21	discard	MacDisplayKit=b554df0b98151cc758a87ca5481958aea6cf547d	MacDisplayKit: exp704: reopen hevc low-latency mode
705	25.0	discard	Lumen=51e5ccc02c3d3dfd59acaaae43c878ae91b6c72c	Lumen: exp705: keep tiny hevc overflow tail
706	104.38	discard	MacDisplayKit=a91a2cbac1c8da686c12c6b94c92b1b51fe6abbc	MacDisplayKit: exp706: limit hevc submit duration to direct frames
707	104.17	discard	MacDisplayKit=98ac4aead93d17d2499dccdcda1ce0e7d7e64e7e	MacDisplayKit: exp707: async direct submit accounting
708	104.17	discard	MacDisplayKit=7ee27a4c78074eece48d07407b8c0b11ee088702	MacDisplayKit: exp708: async direct success accounting
709	102.71	discard	MacDisplayKit=8ea0ebfe94bd560c3324d529fc88b57a5d9d6380	MacDisplayKit: exp709: skip prores keyframe replay
710	104.38	discard	MacDisplayKit=9ea34a9859b52a2e0859a374c0e4b89af20a5b72	MacDisplayKit: exp710: drop staged slot release hop
711	103.96	discard	MacDisplayKit=5554f20f6033f9fa33e24a731edfa02a41e07d48	MacDisplayKit: exp711: use unfair pending tracker
712	102.92	discard	MacDisplayKit=fc4fe9e81bbbb5da260f7d1ed0d3aa84d0289f51	MacDisplayKit: exp712: prewrap skylight replay surface outside lock
713	104.17	discard	MacDisplayKit=52b2e095986935e497f8cd13d7ec8abcd93aa4a7	MacDisplayKit: exp713: retune hevc replay cadence to 145hz
714	33.11	discard	MacDisplayKit=51547d5b45e30b17d3cdcf09618811c0576b9264	MacDisplayKit: exp714: deepen hevc replay minimum delta relaxation
715	103.96	discard	MacDisplayKit=21bce24d82520b1535de4917868e9053a7e97db5	MacDisplayKit: exp715: relax hevc replay minimum delta
716	104.27	discard	MacDisplayKit=3cf3d927a7cd04ee72fed23d8bafb7b48d700a94	MacDisplayKit: exp716: tighten hdr hevc pending budget
717	103.51	discard	MacDisplayKit=d00a682a3c3404a2cddacc7e7398ab57fa59c460	MacDisplayKit: exp717: use work-item autorelease on vt encode queue
718	25.0	discard	MacDisplayKit=e14bd5b8fa421164391067de07b1967479526c4e	MacDisplayKit: exp718: cache skylight capture surfaces
719	76.04	discard	MacDisplayKit=25c1e329ad7445299a2e876ec3af864660fff62a	MacDisplayKit: exp719: restore default hevc vbv initial delay
720	103.74	discard	MacDisplayKit=c71bb040ad8c94ade86acc9385727838ed3ffa25	MacDisplayKit: exp720: disable hevc end reserve hint
721	104.17	discard	MacDisplayKit=8d2b8e389ebda8938ccfc466f50e166e256a118e	MacDisplayKit: exp721: make vt submitted-frame accounting async
722	104.38	discard	MacDisplayKit=27b1928901098fad7ea75e623e8e13312e9aeebb	MacDisplayKit: exp722: raise mailbox continuation priority
723	102.21	discard	MacDisplayKit=946c3b7c67238f9ca2cc129ad1e4a4bd106e531a	MacDisplayKit: exp723: drop hevc source frame diagnostics
724	103.37	discard	MacDisplayKit=59a74cbe4d3ec3d12ae79f759218c055c1f4bf7e	MacDisplayKit: exp724: drop hevc source frame diagnostics
725	102.42	discard	MacDisplayKit=af03df9e72c2c50521c79ed05bc0fb4945e4c80f	MacDisplayKit: exp725: enable hevc vbv buffer on 240hz path
726	104.38	discard	MacDisplayKit=b1183087a484323a6e65361df7dea1dae288689d	MacDisplayKit: exp726: pair hevc realtime ceiling with target duration
727	100.47	discard	MacDisplayKit=79a8471aedd582e7a0bde62a64910228618ce017	MacDisplayKit: exp727: relax vt startup replay warmup
728	102.68	discard	MacDisplayKit=88cf7baf65faddf5df11d0c69b4096ad8f8f898c	MacDisplayKit: exp728: split cursor texture cache
